OTUID	A11	A12	A13	A21	A22	A23	AD11	AD12	AD13	AD21	AD22	AD23	CK11	CK12	CK13	CK21	CK22	CK23	DA11	DA12	DA13	DA21	DA22	DA23
NCBI2710759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
NCBI271091	8	16	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0
NCBI2710922	172	65	96	31	73	119	917	1148	1489	90	448	188	20	0	6	44	102	52	11	19	13	439	126	761
NCBI271097	0	0	0	229	30	37	0	0	0	523	442	387	0	0	0	13	31	35	0	0	0	28	6	19
NCBI271098	0	7	0	2	0	0	0	0	1	0	4	2	0	0	0	0	2	0	0	0	0	1	1	2
NCBI2711215	37	95	92	38	96	93	78	112	59	60	5	15	94	47	129	93	64	75	38	92	29	80	449	147
NCBI2711221	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI2711231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI2711329	0	11	0	4	16	4	9	17	18	0	0	0	0	22	0	4	0	0	17	0	0	0	0	2
NCBI2712222	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
NCBI2712223	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI2712698	13	6	10	3	2	1	16	10	4	1	1	4	6	7	8	1	1	0	20	13	24	2	2	5
NCBI2712934	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NCBI2712935	2	2	1	22	7	8	0	1	1	9	24	24	0	1	0	10	8	4	0	2	2	2	5	13
NCBI2713414	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	12	0	0	0	0	6	0
NCBI2713573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
NCBI271420	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
NCBI2714353	0	0	0	0	0	0	0	0	27	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
NCBI2714355	0	0	25	3	0	34	0	0	0	0	0	14	0	18	0	0	3	4	0	0	18	3	39	0
NCBI2714358	0	0	0	12	0	9	0	0	0	0	0	15	0	0	0	0	13	8	0	0	0	0	12	6
NCBI2714844	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI2714923	312	359	943	0	0	58	348	1371	78	0	0	0	1924	1407	1498	156	140	0	2892	443	1471	97	35	142
NCBI2714924	0	0	0	0	59	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0
NCBI2714925	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
NCBI2714926	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
